,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
X.pred[1],0.309266667,0.799122457,0.006524808,0.006705128,0,0,0,0,2
X.pred[2],0.1562,0.709531622,0.005793301,0.005793309,0,0,0,0,2
X.pred[3],0.1266,0.677005413,0.005527726,0.005527691,0,0,0,0,1
X.pred[4],0.589133333,1.885954852,0.015398757,0.015745697,0,0,0,1,4
X.pred[5],0.784866667,2.056906992,0.016794575,0.01691357,0,0,0,1,5
X.pred[6],0.698866667,2.493631875,0.020360419,0.020621578,0,0,0,1,5
X.pred[7],0.513133333,1.954673604,0.015959843,0.015960314,0,0,0,1,4
X.pred[8],0.4166,1.736484609,0.014178337,0.01417748,0,0,0,0,3
X.pred[9],1.078266667,1.687146731,0.013775495,0.014934141,0,0,1,2,5
X.pred[10],0.245133333,1.049213851,0.008566795,0.008891593,0,0,0,0,2
X.pred[11],0.6994,2.054423119,0.016774295,0.017712401,0,0,0,1,5
X.pred[12],0.749133333,5.748252089,0.046934282,0.053309996,0,0,0,1,5
X.pred[13],0.5118,1.631330186,0.013319755,0.01526848,0,0,0,0,4
X.pred[14],0.5938,2.371436233,0.019362696,0.019445119,0,0,0,1,4
X.pred[15],0.3582,1.75779182,0.01435231,0.014463697,0,0,0,0,3
X.pred[16],0.734533333,3.332406705,0.027208987,0.029646492,0,0,0,1,5
X.pred[17],1.0372,1.645518158,0.013435599,0.015007452,0,0,0,2,5
X.pred[18],0.861533333,3.311800847,0.027040741,0.027872204,0,0,0,1,6
X.pred[19],0.967666667,1.62677523,0.013282564,0.014841273,0,0,0,1,5
X.pred[20],1.184266667,1.977146025,0.01614333,0.019020127,0,0,1,2,6
X.pred[21],0.578333333,2.047732918,0.016719669,0.0169883,0,0,0,1,4
X.pred[22],0.5466,1.119127012,0.009137634,0.00962117,0,0,0,1,3
X.pred[23],0.564133333,1.661546759,0.013566472,0.013919107,0,0,0,1,4
X.pred[24],1.406666667,2.457171423,0.020062721,0.026445939,0,0,1,2,7
X.pred[25],1.079733333,2.980665734,0.024337034,0.025899847,0,0,0,1,7
X.pred[26],0.496933333,2.445374392,0.019966398,0.019947064,0,0,0,0,3
X.pred[27],1.522333333,2.46731441,0.020145538,0.02184917,0,0,1,2,7
X.pred[28],1.0968,3.420381513,0.027927298,0.030034722,0,0,0,1,7
X.pred[29],0.453133333,1.018171217,0.008313333,0.009223803,0,0,0,1,3
X.pred[30],0.953,1.857728293,0.015168288,0.017010245,0,0,0,1,5
X.pred[31],0.6498,1.862057404,0.015203635,0.015770764,0,0,0,1,4
X.pred[32],0.504066667,1.501110817,0.012256518,0.01391323,0,0,0,0,4
X.pred[33],0.1688,0.842429348,0.006878407,0.006959186,0,0,0,0,2
X.pred[34],0.634466667,1.156838191,0.009445544,0.010704764,0,0,0,1,4
X.pred[35],0.248066667,1.070049499,0.008736918,0.008824025,0,0,0,0,2
X.pred[36],0.445533333,0.953604044,0.007786144,0.007786093,0,0,0,1,3
X.pred[37],0.145466667,0.709041347,0.005789298,0.005789548,0,0,0,0,2
X.pred[38],0.483533333,1.626131955,0.013277312,0.014130964,0,0,0,0,4
X.pred[39],0.603733333,2.085328744,0.017026638,0.017382515,0,0,0,1,4
X.pred[40],0.299466667,1.397730288,0.01141242,0.011411292,0,0,0,0,2
X.pred[41],0.292466667,1.323926018,0.010809811,0.011442865,0,0,0,0,2
X.pred[42],0.4302,3.805096566,0.031068483,0.031069556,0,0,0,0,3
X.pred[43],0.297933333,1.315022566,0.010737114,0.013215792,0,0,0,0,2
X.pred[44],0.340866667,1.484191173,0.01211837,0.012117349,0,0,0,0,3
X.pred[45],0.35,1.202107734,0.009815169,0.010312827,0,0,0,0,3
X.pred[46],0.340333333,1.521970537,0.012426837,0.01351097,0,0,0,0,3
X.pred[47],0.132133333,0.643973417,0.005258021,0.005304384,0,0,0,0,1
X.pred[48],0.270933333,1.085176008,0.008860425,0.008859832,0,0,0,0,2
X.pred[49],1.4378,2.159145345,0.017629348,0.02204824,0,0,1,2,7
X.pred[50],0.495066667,3.921759938,0.032021036,0.034771635,0,0,0,0,4
delta[1],0.063856566,0.304579083,0.002486878,0.009464891,-0.467184955,-0.08589807,0.03263647,0.177375806,0.784619999
delta[2],-0.008174845,0.289520796,0.002363927,0.003913447,-0.637872285,-0.133389805,-0.003528391,0.125912966,0.581250409
delta[3],-0.005732805,0.286604984,0.00234012,0.003924631,-0.605942161,-0.13780089,-0.005740715,0.124314976,0.602158178
delta[4],-0.031078751,0.302119082,0.002466792,0.004257525,-0.735806141,-0.150614188,-0.014178,0.108511169,0.550805943
delta[5],-0.035859116,0.285512713,0.002331202,0.005474874,-0.695521698,-0.154095944,-0.016574331,0.103408684,0.51229238
delta[6],-0.027202991,0.287000634,0.00234335,0.004743834,-0.666683206,-0.144737151,-0.013274104,0.10597266,0.531273643
delta[7],-0.027109908,0.296941556,0.002424518,0.004620111,-0.697368154,-0.145043632,-0.012189834,0.112360651,0.551152624
delta[8],-0.016426436,0.294432922,0.002404035,0.003890245,-0.653412309,-0.14328373,-0.010553952,0.114372613,0.588261553
delta[9],0.019358851,0.281255727,0.002296443,0.004982588,-0.560604647,-0.113110887,0.009446699,0.141359362,0.62942738
delta[10],-0.011978302,0.293770978,0.00239863,0.003399418,-0.660889369,-0.137357189,-0.006901556,0.122679027,0.587880107
delta[11],-0.0328011,0.289574449,0.002364365,0.004208793,-0.705541342,-0.152174714,-0.017029463,0.107198989,0.531711309
delta[12],-0.026998994,0.290907889,0.002375253,0.004467853,-0.681813143,-0.148794391,-0.016654161,0.106522775,0.549510687
delta[13],-0.02373314,0.29095463,0.002375635,0.00403167,-0.654161775,-0.145747003,-0.01225917,0.114466632,0.539523141
delta[14],-0.025168039,0.292802346,0.002390721,0.003881083,-0.673247365,-0.149235368,-0.014441646,0.107936176,0.564812987
delta[15],-0.017430274,0.300616709,0.002454525,0.004236858,-0.659859297,-0.1441623,-0.009774277,0.114088947,0.578855482
delta[16],-0.032669763,0.289902971,0.002367048,0.004980888,-0.681046783,-0.155368072,-0.017140897,0.106104872,0.519776066
delta[17],0.066450842,0.302728457,0.002471767,0.01106452,-0.470409353,-0.086312283,0.03261384,0.183628015,0.785705521
delta[18],-0.036839864,0.290887341,0.002375085,0.004873412,-0.683012685,-0.155693015,-0.021252018,0.102776236,0.528998964
delta[19],0.027561417,0.290940593,0.00237552,0.004868175,-0.531055871,-0.110695399,0.014015298,0.152506242,0.686710882
delta[20],0.014313361,0.276783634,0.002259929,0.004497023,-0.551002519,-0.119921703,0.00725385,0.137188685,0.628464498
delta[21],-0.033218304,0.296191629,0.002418395,0.005232404,-0.704590575,-0.150753055,-0.01492261,0.110469796,0.527707424
