,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
X.pred[1],0.294066667,1.556583757,0.012709453,0.012709834,0,0,0,0,2
X.pred[2],0.178133333,0.926602623,0.007565679,0.007566042,0,0,0,0,2
X.pred[3],0.13,1.00284614,0.008188204,0.008187139,0,0,0,0,1
X.pred[4],0.664533333,1.251811987,0.010221002,0.010552986,0,0,0,1,4
X.pred[5],1.030866667,1.655404263,0.013516319,0.016015074,0,0,0,1,5
X.pred[6],0.658666667,2.195710887,0.017927904,0.018118588,0,0,0,1,4
X.pred[7],0.490933333,1.025794625,0.008375578,0.00941172,0,0,0,1,3
X.pred[8],0.504666667,1.101843528,0.008996515,0.010182083,0,0,0,1,3
X.pred[9],1.351933333,1.985163046,0.016208788,0.021473294,0,0,1,2,6
X.pred[10],0.243466667,1.992499766,0.016268692,0.016313431,0,0,0,0,2
X.pred[11],0.602266667,2.113379431,0.017255671,0.017261432,0,0,0,1,4
X.pred[12],0.5658,2.364327183,0.019304651,0.019390194,0,0,0,1,4
X.pred[13],0.543666667,1.619383025,0.013222207,0.014856743,0,0,0,1,4
X.pred[14],0.560666667,1.224698418,0.009999621,0.010638483,0,0,0,1,3
X.pred[15],0.402533333,1.088506273,0.008887616,0.009912319,0,0,0,1,3
X.pred[16],0.8432,3.112179216,0.025410837,0.026396256,0,0,0,1,5
X.pred[17],1.126066667,3.655917337,0.02985044,0.030655602,0,0,0,1,6
X.pred[18],0.819,2.762139441,0.022552774,0.023038537,0,0,0,1,6
X.pred[19],0.717133333,2.044781616,0.016695572,0.018412402,0,0,0,1,5
X.pred[20],0.684133333,5.497172865,0.044884228,0.046397733,0,0,0,1,5
X.pred[21],0.407066667,1.696925268,0.013855337,0.014258476,0,0,0,0,3
X.pred[22],0.001266667,0.048289588,0.000394283,0.000404206,0,0,0,0,0
X.pred[23],0.001266667,0.050976159,0.000416219,0.000416173,0,0,0,0,0
X.pred[24],0.003333333,0.110104634,0.000899001,0.000898893,0,0,0,0,0
X.pred[25],0.5292,1.945850229,0.015887801,0.021251808,0,0,0,0,4
X.pred[26],0.403866667,4.030976925,0.032912789,0.032913693,0,0,0,0,3
X.pred[27],0.004133333,0.16528179,0.00134952,0.001352172,0,0,0,0,0
X.pred[28],0.002933333,0.102593521,0.000837673,0.000869362,0,0,0,0,0
X.pred[29],0.003333333,0.219070966,0.001788707,0.001788604,0,0,0,0,0
X.pred[30],0.453866667,3.539195781,0.028897413,0.029630921,0,0,0,0,3
X.pred[31],0.5072,1.878523378,0.015338079,0.016866487,0,0,0,0,4
X.pred[32],0.562,2.217344607,0.018104543,0.019060932,0,0,0,0,4
X.pred[33],0.1782,1.914790464,0.015634199,0.015810195,0,0,0,0,2
X.pred[34],0.5212,2.840250287,0.023190546,0.023583184,0,0,0,0,4
X.pred[35],0.259866667,1.043396007,0.008519293,0.008602074,0,0,0,0,2
X.pred[36],0.4334,1.658879511,0.013544694,0.013544165,0,0,0,0,3
X.pred[37],0.147533333,0.828379742,0.006763692,0.006914964,0,0,0,0,1
X.pred[38],0.469733333,1.531069411,0.012501129,0.013014434,0,0,0,0,3
X.pred[39],0.5988,2.640234197,0.021557422,0.022247659,0,0,0,1,4
X.pred[40],0.283866667,1.023339076,0.008355529,0.008829523,0,0,0,0,2
X.pred[41],0.286133333,1.080527133,0.008822467,0.008868729,0,0,0,0,2
X.pred[42],0.411266667,6.18994998,0.05054073,0.050568994,0,0,0,0,3
X.pred[43],0.260133333,0.9808813,0.008008862,0.008009101,0,0,0,0,2
X.pred[44],0.380133333,1.524834523,0.012450222,0.012448572,0,0,0,0,3
X.pred[45],0.3364,4.200255292,0.034294941,0.034359404,0,0,0,0,3
X.pred[46],0.3598,3.179279449,0.025958708,0.025957679,0,0,0,0,3
X.pred[47],0.1422,0.811925556,0.006629344,0.006629593,0,0,0,0,1
X.pred[48],0.262866667,1.07330234,0.008763477,0.008961357,0,0,0,0,2
X.pred[49],0.7458,2.512555782,0.020514932,0.02268315,0,0,0,1,5
X.pred[50],0.003533333,0.112197838,0.000916092,0.000916063,0,0,0,0,0
delta[1],-0.017608752,0.294691673,0.002406147,0.004056359,-0.658889331,-0.124726386,-0.004044087,0.105415011,0.558527777
delta[2],-0.003360283,0.307820634,0.002513345,0.003479781,-0.642652259,-0.117595227,-0.0031929,0.115944807,0.612395833
delta[3],-0.007840726,0.318334591,0.002599191,0.005821718,-0.67440907,-0.119363384,9.81E-05,0.114457734,0.612764353
delta[4],0.036146276,0.300924697,0.00245704,0.005596881,-0.521145217,-0.094364058,0.015850504,0.137591799,0.743885868
delta[5],0.071977704,0.314457592,0.002567535,0.012406871,-0.422435297,-0.075706953,0.030331438,0.161410932,0.874447354
delta[6],-0.032933803,0.31903755,0.002604931,0.006073711,-0.743192641,-0.133311536,-0.01243342,0.09723347,0.541742593
delta[7],0.053898252,0.299755262,0.002447491,0.009394736,-0.474335439,-0.083334791,0.022647176,0.149831486,0.805326394
delta[8],0.062638669,0.309291134,0.002525352,0.01137819,-0.451154036,-0.080770347,0.023673603,0.151235219,0.850304074
delta[9],0.061360275,0.301131957,0.002458732,0.010138803,-0.448634029,-0.078930754,0.024278272,0.150652649,0.827926534
delta[10],-0.006564584,0.292935139,0.002391805,0.003982838,-0.622354129,-0.116592221,-0.003877739,0.107527574,0.588090354
delta[11],-0.025160522,0.303636976,0.002479186,0.006010596,-0.711870983,-0.132494002,-0.010820599,0.102732228,0.541041135
delta[12],-0.021680371,0.317166294,0.002589652,0.004902074,-0.69318135,-0.133963108,-0.010712515,0.102699186,0.579868606
delta[13],-0.02118579,0.299827712,0.002448083,0.004441978,-0.669943992,-0.125573786,-0.007714156,0.103176585,0.553420472
delta[14],0.058564712,0.313425581,0.002559109,0.012656038,-0.466321616,-0.082370263,0.024316335,0.155094711,0.823441629
delta[15],0.063937401,0.321944279,0.002628664,0.011032638,-0.449710137,-0.082506428,0.028003818,0.156738801,0.853700932
delta[16],-0.031544644,0.295890233,0.002415934,0.004085975,-0.689733643,-0.133822036,-0.016384051,0.091553591,0.515114425
delta[17],-0.046445515,0.310978757,0.002539131,0.00705167,-0.780621531,-0.144613213,-0.018918017,0.086589959,0.506457027
delta[18],-0.035346911,0.319462737,0.002608402,0.006432302,-0.760470851,-0.13887517,-0.015922196,0.096071881,0.540015717
delta[19],-0.029800606,0.299828942,0.002448093,0.005099891,-0.725415776,-0.129764164,-0.012460212,0.097177593,0.527126489
delta[20],-0.027802377,0.315282567,0.002574271,0.005132558,-0.740725016,-0.132834806,-0.011967361,0.097105735,0.574359205
delta[21],-0.015071369,0.304490072,0.002486151,0.004348369,-0.664539769,-0.125832948,-0.005939024,0.106778786,0.582876068
delta[22],0.000345607,0.309547493,0.002527445,0.003713163,-0.614173197,-0.119566187,-0.000352745,0.116834897,0.623577171
delta[23],0.007390073,0.304550819,0.002486647,0.004500908,-0.616395413,-0.108692115,0.003957672,0.120041303,0.654720049
delta[24],-0.004312084,0.306125596,0.002499505,0.003768445,-0.660301941,-0.118869667,0.000511082,0.117281628,0.607361533
delta[25],-0.027721177,0.316991351,0.002588224,0.006920776,-0.739256257,-0.133830886,-0.011611504,0.099820196,0.5442264
delta[26],-0.016855533,0.294108654,0.002401387,0.003951284,-0.65316122,-0.127067863,-0.009421697,0.103999719,0.571844825
delta[27],0.003465338,0.320193601,0.00261437,0.004189366,-0.634603255,-0.111849668,8.77E-05,0.116944386,0.695830026
