,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
X.pred[1],0.199933333,1.478232844,0.012069721,0.012572609,0,0,0,0,2
X.pred[2],0.138133333,0.83851022,0.006846407,0.006844982,0,0,0,0,1
X.pred[3],0.111733333,0.632620747,0.005165327,0.005165579,0,0,0,0,1
X.pred[4],0.286733333,1.075822703,0.008784056,0.009789878,0,0,0,0,3
X.pred[5],0.300333333,1.194359656,0.009751906,0.011979874,0,0,0,0,3
X.pred[6],0.308,1.288583213,0.010521238,0.010946713,0,0,0,0,3
X.pred[7],0.346466667,1.389636495,0.011346334,0.012218435,0,0,0,0,3
X.pred[8],0.268866667,1.238606606,0.010113181,0.011441184,0,0,0,0,2
X.pred[9],0.324266667,1.234673813,0.010081069,0.011846125,0,0,0,0,3
X.pred[10],0.187266667,0.854232507,0.006974779,0.006980288,0,0,0,0,2
X.pred[11],0.398,1.439351978,0.01175226,0.013205961,0,0,0,0,3
X.pred[12],0.384266667,1.856170472,0.015155568,0.015735519,0,0,0,0,3
X.pred[13],0.301933333,1.090465743,0.008903616,0.010351589,0,0,0,0,3
X.pred[14],0.353466667,1.620052351,0.013227672,0.01413698,0,0,0,0,3
X.pred[15],0.2672,1.311660089,0.01070966,0.011171088,0,0,0,0,2
X.pred[16],0.3284,1.340101923,0.010941886,0.012257959,0,0,0,0,3
X.pred[17],0.3068,1.236113112,0.010092821,0.012478362,0,0,0,0,3
X.pred[18],0.3892,2.007915704,0.016394563,0.020366821,0,0,0,0,3
X.pred[19],0.4878,1.10305588,0.009006414,0.020739238,0,0,0,1,3
X.pred[20],0.858333333,1.832799634,0.014964746,0.024783385,0,0,0,1,5
X.pred[21],0.361733333,1.415467849,0.011557247,0.011696686,0,0,0,0,3
X.pred[22],0.1856,0.646307838,0.005277081,0.005426812,0,0,0,0,2
X.pred[23],0.175133333,0.943108837,0.007700451,0.007976628,0,0,0,0,2
X.pred[24],0.2832,1.240282352,0.010126863,0.010759568,0,0,0,0,3
X.pred[25],0.513066667,1.658677991,0.013543049,0.014031612,0,0,0,0,4
X.pred[26],0.325,1.127944953,0.009209632,0.00927777,0,0,0,0,3
X.pred[27],0.350533333,1.455770472,0.011886316,0.013018342,0,0,0,0,3
X.pred[28],0.27,1.274836596,0.010408997,0.010472647,0,0,0,0,2
X.pred[29],0.140866667,0.809609132,0.006610431,0.006809257,0,0,0,0,2
X.pred[30],0.440466667,1.673033886,0.013660264,0.014763239,0,0,0,0,3
X.pred[31],0.3516,1.266682441,0.010342419,0.010560338,0,0,0,0,3
X.pred[32],0.314,1.248482244,0.010193815,0.011713888,0,0,0,0,3
X.pred[33],0.148333333,0.959301086,0.007832661,0.008122323,0,0,0,0,1
X.pred[34],0.3886,0.927099783,0.007569738,0.009996509,0,0,0,0,3
X.pred[35],0.226666667,1.135917357,0.009274726,0.009274477,0,0,0,0,2
X.pred[36],0.319466667,7.192240467,0.058724398,0.058800322,0,0,0,0,2
X.pred[37],0.133733333,1.006338036,0.008216716,0.008217115,0,0,0,0,1
X.pred[38],0.301733333,1.092872341,0.008923265,0.011655683,0,0,0,0,3
X.pred[39],0.650533333,2.490760254,0.020336972,0.020958485,0,0,0,1,5
X.pred[40],0.2706,1.010533053,0.008250968,0.008816397,0,0,0,0,2
X.pred[41],0.1952,2.003604566,0.016359363,0.016413459,0,0,0,0,2
X.pred[42],0.269466667,1.047724947,0.008554638,0.008554833,0,0,0,0,2
X.pred[43],0.208933333,0.803237122,0.006558404,0.006570104,0,0,0,0,2
X.pred[44],0.252733333,1.250878428,0.01021338,0.010211669,0,0,0,0,2
X.pred[45],0.355533333,1.681225094,0.013727145,0.013726043,0,0,0,0,3
X.pred[46],0.333333333,1.344399265,0.010976974,0.011980905,0,0,0,0,3
X.pred[47],0.141666667,0.920318978,0.007514373,0.007514715,0,0,0,0,1
X.pred[48],0.276266667,1.151071266,0.009398458,0.009802325,0,0,0,0,2
X.pred[49],1.4618,2.868220564,0.023418923,0.026118908,0,0,1,2,7.025
X.pred[50],0.208466667,1.532959549,0.012516562,0.012543985,0,0,0,0,2
delta[1],-0.002354776,0.293919108,0.002399839,0.004845596,-0.590156655,-0.140990963,-0.001909787,0.135205809,0.585033305
delta[2],-0.003889584,0.301241003,0.002459622,0.004735272,-0.647307531,-0.140535335,-0.001304701,0.133394234,0.604361991
delta[3],-0.001619688,0.294267886,0.002402687,0.0044529,-0.600845477,-0.13989681,-0.003574338,0.13325624,0.608885715
delta[4],-0.003368307,0.308196354,0.002516413,0.005491449,-0.601484848,-0.138827757,-0.005209853,0.130638573,0.610515116
delta[5],-0.020193515,0.311381173,0.002542417,0.006123732,-0.677944537,-0.141929359,-0.005489274,0.121236376,0.543045793
delta[6],-0.016733454,0.293365892,0.002395322,0.004763419,-0.648268443,-0.145815755,-0.005220824,0.127062521,0.55317879
delta[7],-0.020099974,0.316210152,0.002581845,0.005356069,-0.679866668,-0.149465386,-0.009013982,0.123781127,0.573727508
delta[8],-0.006548264,0.296701466,0.002422557,0.006986146,-0.613078889,-0.144194227,-0.007575371,0.12750015,0.609060074
delta[9],-0.016056557,0.307143236,0.002507814,0.004606704,-0.669475647,-0.14467358,-0.004452945,0.125058833,0.57485865
delta[10],0.001927145,0.312698347,0.002553171,0.005622683,-0.621738504,-0.139684887,-0.001265222,0.137305451,0.651717765
delta[11],-0.015689809,0.298673943,0.002438663,0.00603026,-0.64094715,-0.140303785,-0.009022806,0.12290509,0.568890128
delta[12],-0.007863016,0.306318528,0.00250108,0.007103315,-0.642375523,-0.142143598,-0.005262322,0.129140368,0.608981832
delta[13],-0.013840937,0.306653778,0.002503818,0.005739531,-0.652192767,-0.146131061,-0.007406172,0.129063419,0.573800252
delta[14],-0.009533498,0.315599432,0.002576859,0.006390987,-0.656769752,-0.142412902,-0.006153366,0.127001122,0.59544975
delta[15],-0.007174814,0.299044519,0.002441688,0.004697439,-0.636212093,-0.141707322,-0.002926463,0.129680322,0.599075597
delta[16],-0.02889475,0.309495009,0.002527016,0.006741242,-0.717750348,-0.150965424,-0.011718248,0.115674351,0.536698314
delta[17],-0.024031013,0.299580341,0.002446063,0.004760229,-0.675731189,-0.155011846,-0.010101705,0.121349505,0.547757068
delta[18],-0.009776602,0.302374128,0.002468874,0.005754816,-0.640115638,-0.142626296,-0.004519933,0.128193488,0.604482527
delta[19],0.067048514,0.321667939,0.002626408,0.016013578,-0.460606586,-0.094268208,0.031549615,0.177228424,0.831010768
delta[20],0.034775998,0.299934671,0.002448956,0.005821452,-0.515847556,-0.113728061,0.017800578,0.159864682,0.700468673
delta[21],-0.018379035,0.295151918,0.002409905,0.004766326,-0.669015144,-0.143607167,-0.008571512,0.126712593,0.536857263
delta[22],0.080404202,0.324452154,0.002649141,0.010715688,-0.446292928,-0.08311248,0.043953053,0.195799739,0.870475438
delta[23],-0.018623616,0.303126174,0.002475015,0.005002154,-0.655598171,-0.148038965,-0.009818571,0.122832179,0.574187915
delta[24],-0.016479577,0.298637016,0.002438361,0.004767256,-0.649982516,-0.150189954,-0.006601878,0.124601899,0.576737907
delta[25],-0.02192527,0.29129885,0.002378445,0.004566388,-0.656302984,-0.149070413,-0.010161297,0.119214886,0.55567777
delta[26],-0.020861733,0.290299217,0.002370283,0.00470008,-0.655601129,-0.145293234,-0.010337383,0.122465081,0.522544239
delta[27],-0.007510639,0.306724595,0.002504396,0.005282603,-0.623945259,-0.140139142,-0.005579331,0.127219751,0.622322475
delta[28],-0.011337367,0.308092621,0.002515566,0.004959121,-0.64789799,-0.146575957,-0.008361688,0.129512757,0.59251562
delta[29],-0.011664146,0.296935028,0.002424464,0.004646135,-0.652957775,-0.142030817,-0.004162473,0.131545095,0.575137113
delta[30],-0.020407127,0.304091778,0.002482899,0.004981504,-0.680343244,-0.146996155,-0.010259586,0.124536849,0.562128486
delta[31],-0.019406982,0.31504337,0.002572318,0.005709484,-0.657385005,-0.145860681,-0.010334143,0.120015244,0.603715547
delta[32],-0.003812334,0.306664251,0.002503903,0.005651601,-0.621298981,-0.144924067,-0.00465341,0.130218731,0.644449353
delta[33],-0.017238274,0.305223001,0.002492135,0.005250799,-0.662682513,-0.147608998,-0.010564414,0.124412604,0.560923085
delta[34],0.07049203,0.316966643,0.002588022,0.013696224,-0.46982046,-0.093180775,0.035959602,0.187223946,0.842805947
delta[35],-0.012521591,0.295977572,0.002416647,0.00553767,-0.641017956,-0.142891563,-0.005620305,0.128174307,0.583439722
delta[36],-0.014775109,0.308350124,0.002517668,0.005411219,-0.639234206,-0.149298072,-0.012228193,0.12136995,0.613484073
delta[37],6.34E-05,0.301570304,0.002462311,0.005341897,-0.624908512,-0.133150081,0.00019117,0.135961025,0.60373411
delta[38],-0.015948824,0.296760565,0.00242304,0.005337489,-0.65741188,-0.149466225,-0.007943776,0.12573768,0.575051984
delta[39],-0.02269792,0.30979144,0.002529437,0.00650652,-0.669563051,-0.153658822,-0.016102722,0.116801701,0.588282009
delta[40],-0.009341004,0.303255014,0.002476067,0.00512549,-0.639115691,-0.140564201,-0.004151557,0.126892918,0.588019867
delta[41],-0.01306076,0.301948428,0.002465399,0.005494491,-0.658233451,-0.143023472,-0.006540769,0.126774689,0.582479974
delta[42],-0.020927311,0.305357493,0.002493233,0.005598715,-0.693882122,-0.145386781,-0.009858191,0.124635025,0.554540341
delta[43],-0.013394659,0.303317028,0.002476573,0.004278084,-0.663390967,-0.143292596,-0.003879029,0.129892016,0.576627128
delta[44],-0.018101171,0.297711331,0.002430803,0.005122009,-0.675494244,-0.145677828,-0.005115833,0.123750299,0.566199864
delta[45],-0.022290024,0.301339282,0.002460425,0.005723364,-0.685576324,-0.14806038,-0.012575375,0.123683275,0.569345445
delta[46],-0.01655688,0.297628767,0.002430129,0.003890921,-0.632221598,-0.150518144,-0.010305218,0.124120893,0.576069952
delta[47],0.001322417,0.313656678,0.002560996,0.005673646,-0.618617877,-0.136018134,0.001457865,0.13968713,0.63969218
delta[48],-0.007418609,0.313738282,0.002561662,0.004633369,-0.670070894,-0.141064578,-0.00159942,0.128557861,0.622642552
delta[49],0.007487327,0.293701223,0.00239806,0.004609331,-0.584546636,-0.126265223,0.005820349,0.140642524,0.626564452
delta[50],-0.01236179,0.309480156,0.002526895,0.006717816,-0.683472938,-0.140631274,-0.002350627,0.130748031,0.586756301
delta[51],0.008413652,0.316542614,0.00258456,0.008222813,-0.602535291,-0.132676961,0.006796973,0.142352104,0.633901616
delta[52],-0.011491834,0.318747134,0.002602559,0.006950038,-0.678702031,-0.140040784,-0.000960937,0.133361991,0.611492763
delta[53],0.003111804,0.317414862,0.002591681,0.006942332,-0.639243575,-0.131275948,0.002903589,0.139728273,0.641274895
delta[54],0.004170567,0.315933285,0.002579584,0.005797833,-0.623926083,-0.131813342,0.004134855,0.141628052,0.634537639
delta[55],0.00453935,0.304380384,0.002485255,0.005787258,-0.598981749,-0.135624403,-0.000974865,0.137845124,0.653696746
delta[56],0.010640082,0.297877027,0.002432156,0.004338648,-0.567429713,-0.131228727,0.004550865,0.140584435,0.642478415
delta[57],-0.002654983,0.316717984,0.002585992,0.007098068,-0.65496771,-0.139559922,-0.006288734,0.13338468,0.665486224
