,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
X.pred[1],0.287066667,0.547368891,0.004469248,0.00553044,0,0,0,0,2
X.pred[2],0.155,0.399731976,0.003263798,0.003357147,0,0,0,0,1
X.pred[3],0.120733333,0.351613004,0.002870908,0.002913533,0,0,0,0,1
X.pred[4],0.466466667,0.718964517,0.005870321,0.006531884,0,0,0,1,2
X.pred[5],0.6232,0.867143907,0.0070802,0.009551358,0,0,0,1,3
X.pred[6],0.4812,0.756450951,0.006176396,0.009594531,0,0,0,1,2
X.pred[7],0.417933333,0.676729089,0.00552547,0.005966086,0,0,0,1,2
X.pred[8],0.360866667,0.622576171,0.005083313,0.005210724,0,0,0,1,2
X.pred[9],0.821733333,1.029445634,0.008405388,0.012106521,0,0,1,1,3
X.pred[10],0.218133333,0.470070115,0.003838106,0.003838321,0,0,0,0,1
X.pred[11],0.524333333,0.780842624,0.006375553,0.007346872,0,0,0,1,2
X.pred[12],0.416133333,0.734167771,0.005994455,0.013356889,0,0,0,1,2
X.pred[13],0.306666667,0.617290552,0.005040156,0.014561125,0,0,0,0,2
X.pred[14],0.402933333,0.68940294,0.005628951,0.011674419,0,0,0,1,2
X.pred[15],0.269933333,0.536179536,0.004377888,0.005683113,0,0,0,0,2
X.pred[16],0.550666667,0.811917588,0.006629279,0.007624214,0,0,0,1,3
X.pred[17],0.821333333,1.02039909,0.008331524,0.01552384,0,0,1,1,3
X.pred[18],0.557466667,0.85491499,0.006980352,0.011316257,0,0,0,1,3
X.pred[19],0.698,0.942720486,0.007697281,0.008986822,0,0,0,1,3
X.pred[20],1.015266667,1.186280214,0.009685937,0.011992029,0,0,1,2,4
X.pred[21],0.5102,0.774124825,0.006320703,0.007647531,0,0,0,1,2
X.pred[22],0.3864,0.669968878,0.005470273,0.005960512,0,0,0,1,2
X.pred[23],0.374466667,0.662724676,0.005411124,0.00562419,0,0,0,1,2
X.pred[24],0.942466667,1.137091075,0.00928431,0.010293074,0,0,1,1,4
X.pred[25],0.950466667,1.128818585,0.009216765,0.010374978,0,0,1,1,4
X.pred[26],0.4664,0.720536132,0.005883153,0.006862926,0,0,0,1,2
X.pred[27],0.9998,1.221597088,0.009974298,0.010919768,0,0,1,2,4
X.pred[28],0.670533333,0.928246999,0.007579105,0.008808316,0,0,0,1,3
X.pred[29],0.309466667,0.600878068,0.004906149,0.006165801,0,0,0,1,2
X.pred[30],0.977333333,1.143433449,0.009336095,0.02162305,0,0,1,2,4
X.pred[31],0.4114,0.712683123,0.005819033,0.014585075,0,0,0,1,2
X.pred[32],0.305666667,0.618810755,0.005052569,0.012876241,0,0,0,0,2
X.pred[33],0.147733333,0.388224476,0.00316984,0.003241555,0,0,0,0,1
X.pred[34],0.428066667,0.711378474,0.005808381,0.010509936,0,0,0,1,2
X.pred[35],0.203533333,0.465605664,0.003801654,0.004187245,0,0,0,0,1
X.pred[36],0.4044,0.66309121,0.005414117,0.006012417,0,0,0,1,2
X.pred[37],0.136466667,0.374681475,0.003059261,0.003157657,0,0,0,0,1
X.pred[38],0.291,0.59043112,0.00482085,0.010792662,0,0,0,0,2
X.pred[39],0.5362,0.820447704,0.006698927,0.00753104,0,0,0,1,3
X.pred[40],0.282133333,0.55101817,0.004499045,0.004653383,0,0,0,0,2
X.pred[41],0.2562,0.513853899,0.0041956,0.004152987,0,0,0,0,2
X.pred[42],0.343533333,0.599173416,0.00489223,0.005078813,0,0,0,1,2
X.pred[43],0.239933333,0.502376507,0.004101887,0.004149383,0,0,0,0,2
X.pred[44],0.264533333,0.535077442,0.004368889,0.005273318,0,0,0,0,2
X.pred[45],0.33,0.597821456,0.004881192,0.004939844,0,0,0,1,2
X.pred[46],0.321266667,0.593136732,0.004842941,0.005277502,0,0,0,1,2
X.pred[47],0.13,0.362641376,0.002960954,0.00296098,0,0,0,0,1
X.pred[48],0.252066667,0.51485927,0.004203808,0.00430828,0,0,0,0,2
X.pred[49],1.5066,1.587615972,0.01296283,0.020930047,0,0,1,2,6
X.pred[50],0.33,0.641192178,0.005235312,0.005958603,0,0,0,1,2
delta[1],0.07843243,0.323341845,0.002640075,0.008627229,-0.481182309,-0.089741608,0.042212005,0.208143764,0.858089513
delta[2],-0.010153745,0.320540969,0.002617206,0.003431098,-0.684482055,-0.151051834,-0.005911881,0.133533172,0.668280034
delta[3],-0.013408896,0.315706589,0.002577734,0.003336519,-0.697583525,-0.152709467,-0.007853813,0.13558258,0.632758869
delta[4],-0.043515982,0.322181875,0.002630604,0.006490709,-0.794788348,-0.177690199,-0.020600114,0.11429262,0.564630314
delta[5],-0.06029087,0.317282139,0.002590598,0.005950898,-0.808838989,-0.191742019,-0.031035014,0.098135754,0.519720915
delta[6],-0.045767258,0.317849693,0.002595232,0.005544762,-0.777836404,-0.175444044,-0.023749942,0.109107621,0.561980545
delta[7],-0.042162789,0.32006247,0.002613299,0.00634631,-0.792466394,-0.17143532,-0.020051087,0.114217547,0.555378509
delta[8],-0.034425397,0.313203206,0.002557293,0.004385589,-0.734223462,-0.168007375,-0.015951344,0.11806495,0.573881901
delta[9],0.025235036,0.311545155,0.002543756,0.005563233,-0.584450433,-0.124348862,0.013049894,0.159290541,0.705737257
delta[10],-0.018244767,0.316699026,0.002585837,0.004163906,-0.705922685,-0.158414029,-0.010938077,0.132463948,0.630734319
delta[11],-0.050664846,0.310970999,0.002539068,0.005444495,-0.775439041,-0.181175838,-0.025228676,0.104304161,0.541298386
delta[12],-0.033985382,0.317766109,0.002594549,0.006287314,-0.725779678,-0.175926452,-0.019318988,0.118435293,0.582575275
delta[13],-0.024031462,0.320193218,0.002614367,0.005333195,-0.737103401,-0.16251623,-0.01281799,0.128055383,0.599416478
