,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
X.pred[1],0.245666667,0.50898444,0.004155841,0.004204729,0,0,0,0,2
X.pred[2],0.157133333,0.402392731,0.003285523,0.003313348,0,0,0,0,1
X.pred[3],0.115466667,0.344686383,0.002814353,0.002833814,0,0,0,0,1
X.pred[4],0.517866667,0.790773337,0.006456637,0.006973575,0,0,0,1,3
X.pred[5],0.863266667,1.070878353,0.008743685,0.015705762,0,0,1,1,4
X.pred[6],0.391733333,0.700222119,0.00571729,0.009813414,0,0,0,1,2
X.pred[7],0.370133333,0.654800147,0.005346421,0.009019738,0,0,0,1,2
X.pred[8],0.385533333,0.646935301,0.005282205,0.005693102,0,0,0,1,2
X.pred[9],1.0596,1.239576652,0.010121101,0.022191558,0,0,1,2,4
X.pred[10],0.202133333,0.463130379,0.003781444,0.004358161,0,0,0,0,1
X.pred[11],0.3826,0.675559767,0.005515922,0.007136855,0,0,0,1,2
X.pred[12],0.227733333,0.539033301,0.004401188,0.006350594,0,0,0,0,2
X.pred[13],0.207066667,0.515694798,0.00421063,0.006015884,0,0,0,0,2
X.pred[14],0.2632,0.570684506,0.004659619,0.005850883,0,0,0,0,2
X.pred[15],0.2422,0.517387997,0.004224455,0.004699222,0,0,0,0,2
X.pred[16],0.526533333,0.823250366,0.006721811,0.007501573,0,0,0,1,3
X.pred[17],0.8058,1.040076188,0.008492187,0.019381274,0,0,1,1,3
X.pred[18],0.431133333,0.772591208,0.006308181,0.014233468,0,0,0,1,2
X.pred[19],0.4176,0.735241193,0.006003219,0.010474399,0,0,0,1,2
X.pred[20],0.187933333,0.535007923,0.004368321,0.013510483,0,0,0,0,2
X.pred[21],0.1422,0.41148971,0.003359799,0.008152591,0,0,0,0,1
X.pred[22],0.001133333,0.033647056,0.000274727,0.000288216,0,0,0,0,0
X.pred[23],0.0012,0.03649633,0.000297991,0.000321367,0,0,0,0,0
X.pred[24],6.00E-04,0.024488364,0.000199947,0.000216761,0,0,0,0,0
X.pred[25],0.137066667,0.433926202,0.003542993,0.009796174,0,0,0,0,1
X.pred[26],0.145066667,0.412997619,0.003372111,0.006795192,0,0,0,0,1
X.pred[27],0.001,0.033651283,0.000274762,0.000274757,0,0,0,0,0
X.pred[28],0.001,0.031608015,0.000258078,0.000258092,0,0,0,0,0
X.pred[29],0.000733333,0.027071099,0.000221035,0.00022104,0,0,0,0,0
X.pred[30],0.144733333,0.431815578,0.003525759,0.007926511,0,0,0,0,1
X.pred[31],0.230666667,0.52371542,0.004276118,0.005274898,0,0,0,0,2
X.pred[32],0.205133333,0.504384717,0.004118284,0.005300351,0,0,0,0,2
X.pred[33],0.144666667,0.384033055,0.003135617,0.003187754,0,0,0,0,1
X.pred[34],0.231266667,0.521472778,0.004257807,0.005740012,0,0,0,0,2
X.pred[35],0.180066667,0.431804461,0.003525669,0.003560451,0,0,0,0,1
X.pred[36],0.348066667,0.61265103,0.005002275,0.005174265,0,0,0,1,2
X.pred[37],0.124666667,0.362491814,0.002959733,0.003041243,0,0,0,0,1
