,statistics.Mean,statistics.SD,statistics.Naive.SE,statistics.Time.series.SE,quantiles.2.5.,quantiles.25.,quantiles.50.,quantiles.75.,quantiles.97.5.
X.pred[1],0.1338,0.375642073,0.003067105,0.003266382,0,0,0,0,1
X.pred[2],0.1092,0.335384643,0.002738404,0.002738366,0,0,0,0,1
X.pred[3],0.098133333,0.320588054,0.002617591,0.002640001,0,0,0,0,1
X.pred[4],0.145333333,0.409824457,0.003346203,0.004781949,0,0,0,0,1
X.pred[5],0.134666667,0.402503444,0.003286427,0.004586737,0,0,0,0,1
X.pred[6],0.138666667,0.408716722,0.003337158,0.004728152,0,0,0,0,1
X.pred[7],0.2112,0.486563127,0.003972771,0.005228606,0,0,0,0,2
X.pred[8],0.148533333,0.402759643,0.003288519,0.004012227,0,0,0,0,1
X.pred[9],0.117933333,0.376874689,0.003077169,0.004014391,0,0,0,0,1
X.pred[10],0.1374,0.38522435,0.003145344,0.003475534,0,0,0,0,1
X.pred[11],0.209,0.498399666,0.004069416,0.005542228,0,0,0,0,2
X.pred[12],0.1714,0.453470781,0.003702573,0.004207474,0,0,0,0,1
X.pred[13],0.124533333,0.385185678,0.003145028,0.004589088,0,0,0,0,1
X.pred[14],0.1806,0.467758727,0.003819234,0.004453145,0,0,0,0,1
X.pred[15],0.159333333,0.415320424,0.003391077,0.004801108,0,0,0,0,1
X.pred[16],0.1374,0.408899808,0.003338653,0.004725736,0,0,0,0,1
X.pred[17],0.1258,0.385552768,0.003148025,0.004631977,0,0,0,0,1
X.pred[18],0.119933333,0.384827929,0.003142107,0.005215856,0,0,0,0,1
X.pred[19],0.238,0.567489327,0.004633531,0.007569591,0,0,0,0,2
X.pred[20],0.5324,0.951110166,0.007765782,0.016784327,0,0,0,1,3
X.pred[21],0.197866667,0.487098142,0.00397714,0.007602464,0,0,0,0,2
X.pred[22],0.1472,0.428576409,0.003499312,0.004044868,0,0,0,0,1
X.pred[23],0.121333333,0.373391015,0.003048725,0.003202499,0,0,0,0,1
X.pred[24],0.151066667,0.438168531,0.003577631,0.003958537,0,0,0,0,1
X.pred[25],0.2536,0.592039194,0.00483398,0.008058315,0,0,0,0,2
X.pred[26],0.210133333,0.499193278,0.004075896,0.007424877,0,0,0,0,2
X.pred[27],0.189,0.535379718,0.004371357,0.004939606,0,0,0,0,2
X.pred[28],0.143666667,0.432017359,0.003527407,0.003773349,0,0,0,0,1
X.pred[29],0.1,0.340403278,0.002779381,0.003101658,0,0,0,0,1
X.pred[30],0.244666667,0.550900888,0.004498087,0.007129567,0,0,0,0,2
X.pred[31],0.185133333,0.46769673,0.003818728,0.004371307,0,0,0,0,1
X.pred[32],0.1312,0.404306968,0.003301153,0.005020645,0,0,0,0,1
X.pred[33],0.116933333,0.347084946,0.002833937,0.002833374,0,0,0,0,1
X.pred[34],0.2156,0.518653295,0.004234786,0.004981595,0,0,0,0,2
X.pred[35],0.150533333,0.396841968,0.003240201,0.003479135,0,0,0,0,1
X.pred[36],0.1504,0.406026473,0.003315192,0.004885368,0,0,0,0,1
X.pred[37],0.1212,0.355695087,0.002904238,0.002949706,0,0,0,0,1
X.pred[38],0.1408,0.406349236,0.003317828,0.004660463,0,0,0,0,1
X.pred[39],0.370533333,0.743824756,0.006073304,0.009547148,0,0,0,1,2
X.pred[40],0.2298,0.524795504,0.004284937,0.005155951,0,0,0,0,2
X.pred[41],0.138066667,0.384119034,0.003136319,0.003337862,0,0,0,0,1
X.pred[42],0.186133333,0.446506073,0.003645707,0.003808771,0,0,0,0,1
X.pred[43],0.169133333,0.423642003,0.003459022,0.003564062,0,0,0,0,1
X.pred[44],0.163733333,0.423639029,0.003458998,0.00466218,0,0,0,0,1
X.pred[45],0.3098,0.63254826,0.005164735,0.006418883,0,0,0,0,2
X.pred[46],0.265066667,0.578182741,0.004720842,0.006189865,0,0,0,0,2
X.pred[47],0.1152,0.350338611,0.002860503,0.003098032,0,0,0,0,1
X.pred[48],0.213733333,0.495917793,0.004049152,0.005617213,0,0,0,0,2
X.pred[49],1.074733333,1.379447397,0.011263141,0.011594589,0,0,1,2,5
X.pred[50],0.158466667,0.46206336,0.003772732,0.00426686,0,0,0,0,1
delta[1],-0.018608661,0.398741358,0.00325571,0.006937198,-0.911191,-0.159774346,-0.004551393,0.141399887,0.768505205
delta[2],-0.018602551,0.387302502,0.003162312,0.005276447,-0.864802037,-0.159265636,-0.00712661,0.139090121,0.769392278
delta[3],-0.014170972,0.373200171,0.003047167,0.00596838,-0.84499758,-0.157137614,-0.006399007,0.140928104,0.78142641
delta[4],-0.018469463,0.392412226,0.003204032,0.00717326,-0.856649946,-0.161371688,-0.009623055,0.136405907,0.782881216
delta[5],-0.011144496,0.381158464,0.003112146,0.007834665,-0.868955063,-0.151728807,-0.00526322,0.145885631,0.782156928
delta[6],-0.016535346,0.38382714,0.003133935,0.006267136,-0.868938815,-0.161669555,-0.00887383,0.137608407,0.795979399
delta[7],-0.014617652,0.384915848,0.003142825,0.005682649,-0.870344615,-0.158283807,-0.005117528,0.141676768,0.789336657
delta[8],-0.024956114,0.391595094,0.003197361,0.00708385,-0.909335705,-0.166327546,-0.009193131,0.137058802,0.766483757
delta[9],-0.01798473,0.382014187,0.003119133,0.006735684,-0.863745076,-0.156121381,-0.006045947,0.133030761,0.778073388
delta[10],-0.008982984,0.379674469,0.003100029,0.007088669,-0.845489888,-0.151304969,-0.002942524,0.146354902,0.797070188
delta[11],-0.013032937,0.376994285,0.003078145,0.006191364,-0.847563999,-0.160999405,-0.006512797,0.13847464,0.788037874
delta[12],-0.020741558,0.37503093,0.003062115,0.005179444,-0.864104444,-0.164796491,-0.00772075,0.135664786,0.737905319
delta[13],-0.012157989,0.399858831,0.003264834,0.00592371,-0.854616356,-0.157927842,-0.006319743,0.14080142,0.836443889
delta[14],-0.022902276,0.384267012,0.003137527,0.005408754,-0.882735492,-0.160112796,-0.008871673,0.134502761,0.747214669
delta[15],-0.030603672,0.37902387,0.003094717,0.007249068,-0.904921443,-0.162842829,-0.009849838,0.134126027,0.721587505
delta[16],-0.018569634,0.393275379,0.00321108,0.005193692,-0.887101738,-0.163838663,-0.008173701,0.140235347,0.783968997
delta[17],-0.017239977,0.410362561,0.003350596,0.006042581,-0.932283177,-0.161568044,-0.007451969,0.140696063,0.83715819
delta[18],-0.005110973,0.385596114,0.003148379,0.006643378,-0.832762779,-0.157957561,-0.006384599,0.145352371,0.826715443
delta[19],0.118981822,0.428439874,0.003498197,0.016995864,-0.572058319,-0.085767139,0.05080284,0.236079437,1.214965208
delta[20],0.062743232,0.377310549,0.003080728,0.009045463,-0.631158632,-0.110126606,0.030002415,0.194992218,0.971170634
delta[21],-0.027168757,0.367032615,0.002996809,0.005506724,-0.857805442,-0.169740144,-0.014681135,0.12898155,0.728502966
delta[22],0.122267746,0.429341339,0.003505557,0.018111121,-0.54427653,-0.082508198,0.052806746,0.242631043,1.187956683
delta[23],-0.015736462,0.385088435,0.003144234,0.006027136,-0.873390302,-0.158226734,-0.006476235,0.140218473,0.78772104
delta[24],-0.017227749,0.385563616,0.003148114,0.005730298,-0.875501484,-0.164013973,-0.008216667,0.137626011,0.816093164
delta[25],-0.036621826,0.378491289,0.003090368,0.006425482,-0.939243127,-0.164581853,-0.015405368,0.12729301,0.686928566
delta[26],-0.026079517,0.377134826,0.003079293,0.005797724,-0.895615618,-0.165895344,-0.012580142,0.132053341,0.748879181
delta[27],-0.027001499,0.395524568,0.003229445,0.005358294,-0.90746422,-0.166202253,-0.01038702,0.132137616,0.791654505
delta[28],-0.021163241,0.409329986,0.003342165,0.00726762,-0.909676366,-0.162128477,-0.006834171,0.139872854,0.764413524
delta[29],-0.02236653,0.386032198,0.00315194,0.007727918,-0.910052674,-0.160940998,-0.007662415,0.138834862,0.761211957
delta[30],-0.033267233,0.40334282,0.00329328,0.008664116,-0.958570674,-0.167260175,-0.009257176,0.132941382,0.746816662
delta[31],-0.021513372,0.375262757,0.003064008,0.005178631,-0.878857282,-0.160816277,-0.00962615,0.133131414,0.759732983
delta[32],-0.009320407,0.387810515,0.00316646,0.008798421,-0.840445116,-0.157974437,-0.007751893,0.142007046,0.82386986
delta[33],-0.020548299,0.39171354,0.003198328,0.007549627,-0.885424876,-0.161340418,-0.011621331,0.138069961,0.772517861
delta[34],0.118233433,0.429686469,0.003508375,0.017858027,-0.561553201,-0.085250221,0.052224005,0.232272528,1.188504843
delta[35],-0.01571109,0.397393041,0.003244701,0.00642541,-0.873854158,-0.162934856,-0.004774325,0.142267893,0.805863648
delta[36],-0.01885604,0.380862481,0.003109729,0.005868988,-0.873889904,-0.155911793,-0.006513111,0.138154607,0.756190004
delta[37],-0.018697046,0.385454259,0.003147221,0.005268882,-0.876647872,-0.163526002,-0.003301256,0.137514473,0.805086464
delta[38],-0.015805316,0.376770444,0.003076318,0.005426711,-0.869772846,-0.159494777,-0.005174934,0.142724322,0.774333668
delta[39],-0.055491042,0.391295934,0.003194918,0.00792211,-0.973038131,-0.189596349,-0.02471537,0.117502643,0.689705824
delta[40],-0.02679659,0.390693669,0.00319,0.005903235,-0.919272556,-0.16523327,-0.01191548,0.130007262,0.780235163
delta[41],-0.021809582,0.386101226,0.003152503,0.006016157,-0.889138076,-0.161870007,-0.012173954,0.134754448,0.774893272
delta[42],-0.035339562,0.398884874,0.003256881,0.008064046,-0.950325329,-0.17031237,-0.00970147,0.129237245,0.74355789
delta[43],-0.021291696,0.376833097,0.003076829,0.006448354,-0.894288002,-0.157873743,-0.008539463,0.136084669,0.749242442
delta[44],-0.013038111,0.387218442,0.003161625,0.005491674,-0.897168922,-0.15656925,-0.006254351,0.139090449,0.819864552
delta[45],-0.026066384,0.385416727,0.003146914,0.006269132,-0.897781815,-0.168918922,-0.011894398,0.133960165,0.787292325
delta[46],-0.022853398,0.383641016,0.003132416,0.005501613,-0.892377046,-0.162113657,-0.011051905,0.133594514,0.759264639
delta[47],-0.013112894,0.378359594,0.003089293,0.00562024,-0.863110295,-0.151962718,-0.003253926,0.141820564,0.769033894
delta[48],-0.035447315,0.386632832,0.003156844,0.006333698,-0.943877724,-0.168078462,-0.013456968,0.12340344,0.741596291
delta[49],-0.009853586,0.376798271,0.003076545,0.006371804,-0.840246708,-0.153161635,-0.00067506,0.14139458,0.795929115
delta[50],-0.022015772,0.386247733,0.0031537,0.006376029,-0.885920109,-0.16290332,-0.009232513,0.136400634,0.754384664
delta[51],0.005337961,0.388777366,0.003174354,0.00605993,-0.822640984,-0.145751407,0.001675684,0.15324596,0.840999717
delta[52],0.006621134,0.40472908,0.003304599,0.006630945,-0.839206151,-0.150050452,0.000608313,0.149754177,0.913731007
delta[53],0.007992456,0.401861719,0.003281187,0.006122684,-0.832919627,-0.150704077,0.000308547,0.151302632,0.903036948
delta[54],0.00434289,0.404406153,0.003301962,0.005570581,-0.841484308,-0.144991097,0.001175657,0.148429556,0.882164286
delta[55],0.005843569,0.387432581,0.003163374,0.005329308,-0.82951867,-0.148710657,0.000614508,0.154578475,0.847303155
delta[56],0.010288201,0.400469146,0.003269817,0.005990404,-0.83886442,-0.144537641,0.005196912,0.157762563,0.883443949
delta[57],0.01810185,0.404199928,0.003300279,0.006161573,-0.812712556,-0.143069086,0.004148212,0.16062878,0.893159994
delta[58],0.006203706,0.39859457,0.003254511,0.006683027,-0.831900924,-0.144630897,0.001081966,0.151154209,0.903995423
delta[59],-6.03E-05,0.40343714,0.00329405,0.006703972,-0.860917791,-0.153709589,-0.00234796,0.149745989,0.86258392
